iter	Passed	Remaining
186	392503	1706447
187	394810	1705243
188	396902	1703112
189	399031	1701135
190	401647	1701218
191	404116	1700655
192	406381	1699222
193	408641	1697756
194	411138	1697264
195	413329	1695493
196	415796	1694847
197	418265	1694185
198	420649	1693166
199	422994	1691977
200	425176	1690130
201	427323	1688139
202	429616	1686720
203	431938	1685406
204	434314	1684291
205	436489	1682391
206	438777	1680921
207	441164	1679819
208	443288	1677710
209	445756	1676892
210	448029	1675333
211	450343	1673919
212	452766	1672899
213	454959	1671021
214	457236	1669446
215	459606	1668201
216	461954	1666866
217	464424	1665963
218	466850	1664885
219	469169	1663419
220	471280	1661209
221	473545	1659542
222	474554	1653493
223	476622	1651157
224	478873	1649454
225	481086	1647615
226	483017	1644813
227	485292	1643183
228	487716	1642049
229	490027	1640527
230	492301	1638874
231	494463	1636846
232	496503	1634411
233	498827	1632914
234	501049	1631077
235	502204	1625779
236	504424	1623948
237	506706	1622311
238	509065	1620915
239	511856	1620878
240	514108	1619122
241	516374	1617404
242	518878	1616423
243	521063	1614442
244	522943	1611520
245	525138	1609571
246	527214	1607256
247	529380	1605218
248	532070	1604758
249	534058	1602176
250	536424	1600723
251	538817	1599347
252	540750	1596602
253	543016	1594843
254	545292	1593110
255	547338	1590701
256	549497	1588624
257	551773	1586884
258	553966	1584900
259	556207	1583053
260	558400	1581064
261	560422	1578594
262	562598	1576559
263	565066	1575337
264	567330	1573539
265	569562	1571649
266	571830	1569855
267	573786	1567208
268	576014	1565302
269	578124	1563078
270	580171	1560682
271	582399	1558774
272	584722	1557118
273	586752	1554680
274	588718	1552074
275	590779	1549724
276	592769	1547192
277	594906	1545044
278	597043	1542897
279	599271	1540983
280	601527	1539140
281	603879	1537537
282	606629	1536936
283	608730	1534686
284	610751	1532237
285	613015	1530394
286	615291	1528582
287	617442	1526454
288	619665	1524505
289	621794	1522324
290	624155	1520709
291	626473	1518983
292	627574	1514318
293	629633	1511977
294	631770	1509824
295	634102	1508136
296	636200	1505888
297	638628	1504419
298	640942	1502677
299	643004	1500344
300	644388	1496437
301	645428	1491751
302	647676	1489869
303	650099	1488385
304	652689	1487275
305	654735	1484922
306	656924	1482893
307	658945	1480487
308	660981	1478116
309	663155	1476056
310	665529	1474437
311	667984	1472992
312	670283	1471196
313	672310	1468805
314	674467	1466700
315	676536	1464402
316	678731	1462377
317	681058	1460635
318	683287	1458679
319	685573	1456843
320	687381	1453993
321	689652	1452126
322	690756	1447808
323	693164	1446231
324	695421	1444336
325	697716	1442518
326	699989	1440650
327	702383	1439029
328	705388	1438649
329	707520	1436481
330	709735	1434481
331	711877	1432332
332	714082	1430309
333	716310	1428331
334	718547	1426371
335	720839	1424515
336	723029	1422458
337	725153	1420270
338	727626	1418764
339	729975	1417011
340	732263	1415136
341	734295	1412767
342	736277	1410304
343	738633	1408556
344	740561	1405994
345	742807	1404034
346	744927	1401837
347	747169	1399868
348	749039	1397204
349	750969	1394658
350	753213	1392694
351	754494	1388956
352	756655	1386843
353	758849	1384792
354	761823	1384158
355	763952	1381981
356	766158	1379943
357	768388	1377948
358	771207	1377002
359	773217	1374609
360	775311	1372364
361	777573	1370420
362	779679	1368198
363	782039	1366420
364	784068	1364064
365	786348	1362144
366	788288	1359636
367	790606	1357780
368	792660	1355471
369	794823	1353348
370	797186	1351564
371	799168	1349134
372	801086	1346599
373	803290	1344545
374	805433	1342389
375	807410	1339958
376	809549	1337796
377	812178	1336442
378	814437	1334473
379	816718	1332540
380	818736	1330177
381	820681	1327700
382	822705	1325350
383	825035	1323494
384	827151	1321294
385	829462	1319404
386	831395	1316913
387	833536	1314752
388	835816	1312812
389	838079	1310842
390	840268	1308755
391	842396	1306574
392	844554	1304439
393	846944	1302661
394	849270	1300781
395	851532	1298801
396	854152	1297365
397	856628	1295704
398	858090	1292512
399	860476	1290715
400	862603	1288526
401	864595	1286138
402	866858	1284155
403	868315	1280979
404	870619	1279058
405	872647	1276730
406	874831	1274632
407	876968	1272463
408	878988	1270128
409	881060	1267867
410	882743	1265051
411	884742	1262690
412	886825	1260451
413	888907	1258212
414	890837	1255758
415	893198	1253912
416	895513	1252000
417	897819	1250074
418	899825	1247728
419	902084	1245736
420	904900	1244507
421	907617	1243134
422	910241	1241629
423	912460	1239568
424	914805	1237677
425	917206	1235859
426	919796	1234293
427	922041	1232260
428	924281	1230220
429	926616	1228305
430	929474	1227078
431	931692	1225003
432	934008	1223054
433	936256	1221016
434	938414	1218859
435	940548	1216672
436	942683	1214487
437	945006	1212542
438	947024	1210207
439	948184	1206780
440	950529	1204865
441	953030	1203147
442	955162	1200960
443	957182	1198633
444	959484	1196660
445	961600	1194454
446	963747	1192286
447	966063	1190328
448	968480	1188491
449	970803	1186537
450	972948	1184364
451	974535	1181516
452	976618	1179271
453	978513	1176802
454	980640	1174613
455	982787	1172448
456	984873	1170210
457	986978	1167995
458	989509	1166284
459	991090	1163453
460	993352	1161425
461	995702	1159497
462	997954	1157454
463	1000046	1155225
464	1002227	1153100
465	1004432	1151002
466	1006822	1149114
467	1009010	1146994
468	1010949	1144593
469	1013077	1142406
470	1015150	1140158
471	1017332	1138032
472	1019445	1135830
473	1021662	1133743
474	1023943	1131727
475	1026029	1129494
476	1028266	1127428
477	1030647	1125519
478	1032980	1123555
479	1035175	1121440
480	1037261	1119206
481	1039763	1117422
482	1042024	1115375
483	1044335	1113382
484	1046566	1111302
485	1048724	1109144
486	1050892	1106997
487	1052887	1104669
488	1055205	1102678
489	1057373	1100531
490	1059424	1098262
491	1061625	1096150
492	1063612	1093816
493	1065707	1091595
494	1067913	1089487
495	1070198	1087459
496	1072310	1085256
497	1075099	1083734
498	1077118	1081435
499	1079294	1079294
500	1081459	1077141
501	1083476	1074843
502	1085590	1072640
503	1087663	1070398
504	1089737	1068158
505	1091878	1065983
506	1094103	1063891
507	1096292	1061763
508	1098337	1059496
509	1100413	1057260
510	1102176	1054724
511	1104213	1052453
512	1105183	1049170
513	1107413	1047087
514	1109515	1044883
515	1111768	1042821
516	1114066	1040801
517	1115852	1038303
518	1118086	1036222
519	1120026	1033870
520	1122145	1031684
521	1124380	1029604
522	1126593	1027504
523	1128728	1025333
524	1130944	1023235
525	1133153	1021130
526	1135391	1019051
527	1137330	1016704
528	1139644	1014693
529	1141698	1012449
530	1143955	1010386
531	1146116	1008238
532	1148365	1006166
533	1150485	1003981
534	1152485	1001692
535	1154815	999690
536	1156887	997465
537	1159012	995286
538	1161196	993156
539	1163665	991270
540	1165539	988877
541	1167655	986690
542	1169903	984614
543	1172353	982708
544	1174789	980787
545	1176856	978558
546	1178965	976364
547	1181134	974220
548	1183557	972285
549	1185767	970173
550	1188138	968192
551	1190280	966024
552	1192394	963834
553	1194290	961468
554	1195859	958842
555	1198398	956994
556	1200504	954799
557	1202776	952737
558	1204881	950541
559	1206976	948338
560	1209154	946201
561	1211076	943863
562	1213091	941600
563	1215376	939546
564	1217466	937341
565	1219491	935086
566	1221936	933154
567	1224223	931099
568	1226480	929021
569	1228601	926839
570	1230558	924535
571	1233005	922598
572	1235313	920556
573	1237380	918334
574	1239543	916184
575	1241684	914017
576	1243938	911934
577	1246288	909920
578	1248800	908022
579	1251010	905904
580	1252955	903594
581	1255312	901581
582	1257540	899476
583	1259678	897305
584	1261757	895093
585	1264226	893156
586	1266972	891413
587	1269342	889403
588	1271557	887283
589	1274045	885353
590	1276296	883257
591	1278623	881213
592	1280818	879078
593	1283002	876934
594	1285334	874891
595	1287598	872801
596	1290072	870853
597	1292574	868920
598	1294757	866774
599	1296974	864649
600	1299242	862558
601	1301403	860396
602	1303451	858159
603	1305858	856158
604	1308002	853985
605	1310498	852040
606	1313130	850181
607	1315291	848017
608	1317522	845897
609	1319673	843725
610	1321887	841594
611	1324319	839601
612	1326691	837568
613	1328809	835375
614	1330866	833144
615	1333276	831133
616	1335339	828905
617	1337260	826591
618	1339795	824656
619	1342294	822696
620	1344664	820656
621	1346944	818561
622	1349239	816474
623	1351580	814413
624	1353823	812294
625	1356066	810173
626	1358397	808105
627	1360922	806151
628	1363037	803954
629	1365259	801818
630	1366943	799369
631	1369689	797540
632	1371843	795366
633	1373972	793176
634	1376253	791075
635	1378579	788998
636	1381160	787066
637	1383276	784868
638	1385538	782753
639	1387658	780557
640	1389847	778401
641	1391939	776190
642	1394150	774046
643	1396521	771990
644	1398710	769832
645	1401045	767755
646	1403240	765600
647	1405352	763401
648	1407527	761235
649	1409884	759168
650	1412021	756982
651	1414396	754923
652	1416498	752718
653	1418812	750625
654	1421114	748526
655	1423230	746328
656	1425168	744037
657	1427349	741874
658	1429689	739793
659	1431854	737622
660	1434104	735493
661	1436477	733427
662	1439057	731466
663	1441243	729303
664	1443612	727233
665	1446019	725181
666	1448180	723004
667	1450262	720789
668	1452568	718685
669	1454799	716543
670	1457130	714449
671	1459480	712365
672	1461737	710235
673	1464229	708218
674	1466693	706185
675	1468969	704062
676	1470958	701801
677	1473406	699759
678	1475889	697732
679	1477121	695116
680	1479390	692989
681	1481655	690859
682	1484036	688784
683	1486459	686726
684	1488657	684565
685	1491013	682475
686	1493337	680370
687	1495565	678221
688	1498140	676229
689	1500265	674032
690	1502348	671817
691	1504802	669767
692	1506859	667540
693	1509154	665419
694	1511500	663320
695	1513429	661038
696	1515508	658822
697	1517736	656670
698	1519719	654414
699	1521640	652131
700	1523689	649904
701	1525872	647735
702	1528153	645606
703	1530234	643394
704	1532511	641263
705	1534691	639092
706	1536801	636892
707	1538769	634633
708	1540812	632406
709	1542897	630197
710	1545268	628105
711	1547331	625886
712	1549618	623759
713	1552115	621715
714	1554198	619505
715	1556171	617252
716	1558440	615116
717	1560620	612945
718	1562641	610712
719	1565020	608619
720	1567150	606428
721	1569157	604190
722	1571526	602092
723	1573599	599880
724	1575794	597715
725	1577906	595518
726	1579978	593306
727	1582082	591107
728	1584097	588875
729	1586333	586726
730	1588476	584541
731	1590496	582312
732	1593164	580320
733	1595330	578144
734	1597534	575981
735	1599820	573848
736	1602310	571787
737	1604750	569708
738	1607148	567612
739	1609508	565503
740	1611568	563287
741	1613595	561061
742	1615788	558893
743	1616874	556343
744	1619103	554189
745	1621298	552023
746	1623590	549890
747	1626237	547876
748	1628205	545633
749	1630415	543471
750	1632580	541294
751	1634809	539139
752	1637078	536996
753	1639180	534799
754	1641520	532678
755	1643396	530408
756	1645432	528190
757	1647331	525929
758	1649457	523740
759	1651511	521530
760	1653482	519293
761	1655666	517124
762	1657732	514918
763	1659752	512698
764	1662240	510622
765	1664417	508451
766	1666507	506253
767	1669156	504224
768	1671281	502036
769	1673365	499836
770	1675502	497652
771	1677682	495481
772	1680018	493355
773	1682261	491203
774	1684347	489004
775	1686624	486860
776	1688457	484589
777	1690555	482395
778	1692673	480206
779	1694880	478043
780	1697032	475864
781	1699023	473640
782	1701140	471452
783	1703243	469261
784	1705203	467030
785	1707403	464865
786	1709535	462682
787	1711739	460518
788	1713946	458355
789	1716179	456199
790	1718256	454001
791	1720493	451846
792	1722498	449630
793	1724673	447459
794	1726788	445272
795	1728858	443074
796	1731070	440912
797	1733979	438927
798	1736203	436767
799	1738608	434652
800	1740637	432442
801	1742602	430218
802	1744682	428023
803	1746652	425800
804	1748768	423614
805	1750959	421446
806	1753254	419303
807	1755652	417184
808	1757702	414982
809	1759905	412817
810	1762265	410688
811	1764526	408535
812	1766774	406379
813	1768808	404174
814	1771058	402019
815	1773419	399888
816	1775448	397683
817	1777524	395488
818	1779024	393166
819	1781449	391049
820	1783553	388862
821	1785171	386569
822	1787972	384533
823	1789947	382318
824	1792289	380182
825	1794475	378013
826	1796537	375817
827	1798495	373600
828	1800963	371489
829	1802890	369266
830	1805263	367135
831	1807663	365009
832	1809823	362833
833	1811828	360627
834	1814370	358528
835	1816301	356307
836	1818325	354106
837	1820585	351950
838	1822758	349778
839	1825128	347643
840	1827352	345480
841	1829695	343339
842	1831924	341176
843	1834117	339007
844	1836235	336824
845	1838482	334664
846	1840828	332522
847	1843003	330349
848	1845296	328197
849	1847379	326008
850	1849532	323831
851	1851815	321676
852	1853490	319417
853	1856379	317366
854	1858613	315203
855	1860840	313038
856	1862928	310850
857	1865262	308703
858	1867340	306513
859	1869762	304379
860	1871996	302215
861	1874130	300034
862	1876349	297867
863	1879050	295776
864	1881375	293625
865	1883476	291438
866	1885542	289247
867	1887707	287070
868	1889749	284875
869	1891828	282687
870	1893898	280497
871	1896112	278328
872	1898286	276153
873	1900337	273961
874	1902485	271783
875	1904824	269632
876	1907065	267467
877	1909408	265316
878	1911576	263140
879	1913687	260957
880	1915969	258797
881	1918049	256609
882	1920221	254434
883	1922134	252225
884	1924064	250019
885	1926368	247862
886	1928130	245635
887	1930234	243453
888	1932368	241274
889	1934509	239096
890	1936965	236957
891	1939647	234845
892	1941976	232689
893	1943103	230390
894	1945463	228238
895	1947619	226062
896	1949886	223900
897	1952120	221733
898	1954181	219546
899	1956211	217356
900	1958208	215163
901	1960484	213001
902	1962528	210814
903	1964797	208651
904	1966890	206469
905	1969198	204309
906	1971418	202141
907	1973409	199948
908	1975283	197745
909	1977251	195552
910	1979465	193383
911	1981640	191210
912	1983592	189017
913	1985559	186825
914	1987770	184656
915	1990167	182504
916	1992227	180321
917	1994258	178136
918	1996256	175948
919	1998273	173762
920	2000240	171573
921	2002378	169398
922	2004569	167228
923	2006850	165065
924	2009045	162895
925	2010972	160704
926	2012991	158520
927	2015265	156356
928	2017147	154163
929	2019253	151986
930	2021198	149798
931	2023494	147636
932	2025825	145477
933	2028024	143307
934	2030197	141136
935	2032582	138979
936	2034830	136813
937	2036973	134640
938	2039296	132478
939	2041383	130301
940	2042879	128087
941	2044979	125911
942	2047401	123755
943	2049647	121589
944	2051905	119423
945	2053973	117245
946	2056332	115085
947	2058688	112923
948	2060918	110755
949	2063041	108581
950	2065126	106405
951	2067161	104226
952	2069333	102055
953	2071423	99879
954	2073507	97704
955	2075598	95529
956	2077848	93362
957	2080341	91204
958	2082625	89038
959	2084728	86863
960	2087009	84696
961	2089210	82525
962	2091288	80350
963	2093632	78185
964	2095711	76010
965	2096737	73798
966	2098921	71628
967	2101316	69465
968	2103571	67296
969	2105821	65128
970	2108500	62972
971	2110677	60801
972	2113034	58635
973	2115255	56464
974	2117270	54288
975	2119476	52118
976	2121704	49948
977	2123761	47773
978	2126082	45605
979	2128140	43431
980	2130372	41261
981	2132636	39091
982	2134762	36918
983	2136957	34747
984	2139121	32575
985	2141331	30404
986	2143502	28232
987	2145932	26063
988	2148240	23893
989	2150330	21720
990	2152412	19547
991	2154422	17374
992	2156592	15202
993	2158838	13031
994	2161036	10859
995	2163201	8687
996	2165190	6515
997	2167276	4343
998	2169420	2171
999	2171801	0
