iter	Logloss
0	0.6847526065
1	0.6769579288
2	0.6697032105
3	0.6629755091
4	0.6562885931
5	0.6499197239
6	0.6439368237
7	0.6385057235
8	0.633383471
9	0.6284211704
10	0.6237419556
11	0.617646912
12	0.6126227122
13	0.6086723579
14	0.6043819326
15	0.6006970959
16	0.596579169
17	0.593290345
18	0.5889890757
19	0.5861123162
20	0.5824386079
21	0.5787217243
22	0.5758143119
23	0.5727879439
24	0.5699990978
25	0.565777686
26	0.5630191476
27	0.5606823956
28	0.5582868502
29	0.5537294201
30	0.5515322012
31	0.5470216929
32	0.5451776921
33	0.5431671215
34	0.5388880016
35	0.5370012725
36	0.5348569763
37	0.5330851904
38	0.5290475642
39	0.5274218257
40	0.5237580391
41	0.5192874102
42	0.5153706007
43	0.5134947388
44	0.5100889744
45	0.5076856741
46	0.5054679089
47	0.5033557961
48	0.5006224494
49	0.4976054739
50	0.4949753918
51	0.4922493028
52	0.4905331287
53	0.4880463226
54	0.4860165863
55	0.4833406755
56	0.4813712876
57	0.4791635215
58	0.4769679484
59	0.4755511927
60	0.4742897624
61	0.4731101533
62	0.4712919158
63	0.4695969341
64	0.4684753443
65	0.466164765
66	0.4638877375
67	0.4621541263
68	0.4611323411
69	0.4592761983
70	0.4577982434
71	0.4568316459
72	0.4545471513
73	0.4536813758
74	0.4519919313
75	0.4501390683
76	0.4493188236
77	0.4474151649
78	0.4457370792
79	0.4440469798
80	0.443314065
81	0.4418288624
82	0.4405975742
83	0.4383610605
84	0.4369026171
85	0.4354697834
86	0.4348037993
87	0.4328319886
88	0.4315869547
89	0.4308173612
90	0.4296101428
91	0.4277527001
92	0.4258349507
93	0.4245215685
94	0.4233066986
95	0.4220815064
96	0.4209800379
97	0.4192383751
98	0.4186680612
99	0.4175933839
100	0.4155266286
101	0.4149844711
102	0.4138533057
103	0.4126606037
104	0.4111494594
105	0.4106453722
106	0.4088420153
107	0.4075837399
108	0.4069561563
109	0.4060149228
110	0.4044646358
111	0.4033559367
112	0.4019935138
113	0.4011967592
114	0.4004191016
115	0.3989435154
116	0.3981327393
117	0.3973668892
118	0.3961182464
119	0.3956781384
120	0.3952389035
121	0.3935676433
122	0.3929765672
123	0.3924117302
124	0.3918803927
125	0.3913263325
126	0.3905059038
127	0.3897366512
128	0.3890206123
129	0.3883156519
130	0.3876513197
131	0.3870215464
132	0.386408767
133	0.3850863439
134	0.3844004762
135	0.3831056577
136	0.3818681378
137	0.3814352937
138	0.3810062609
139	0.3803299589
140	0.3797758264
141	0.3791911986
142	0.3778082622
143	0.3766626297
144	0.375155964
145	0.3746202153
146	0.3734406779
147	0.3727624384
148	0.3721889426
149	0.3715178097
150	0.3709615136
151	0.3699053156
152	0.3695319461
153	0.3684126588
154	0.3673782822
155	0.3666593521
156	0.3659867327
157	0.3649375184
158	0.3636630323
159	0.3621456456
160	0.36151085
161	0.3601815581
162	0.3592599249
163	0.3583759767
164	0.3578682188
165	0.3572690981
166	0.3559793793
167	0.3551976106
168	0.354563826
169	0.3536762474
170	0.3523500105
171	0.3511392541
172	0.3502245098
173	0.3496948045
174	0.349267348
175	0.3479269198
176	0.3474250031
177	0.3468245576
178	0.3461315595
179	0.3451373092
180	0.3442934141
181	0.3435600282
182	0.3427895001
183	0.342191576
184	0.3417308348
185	0.3411392423
186	0.3406479173
187	0.3395159779
188	0.3390802236
189	0.3379925293
190	0.3372557956
191	0.3365779606
192	0.3360703172
193	0.3354181846
194	0.3350535989
195	0.3340986081
196	0.3336117215
197	0.3326042839
198	0.3320033099
199	0.3310444852
200	0.3303177576
201	0.3298294999
202	0.3292797785
203	0.3286303503
204	0.3281770196
205	0.3277895362
206	0.3273693765
207	0.3269075898
208	0.3265780944
209	0.3262725838
210	0.3257806608
211	0.3248129709
212	0.3244777244
213	0.3235841131
214	0.3232268027
215	0.3225351343
216	0.3217360367
